edge_id,pair_key,relation,source_id,target_id,inverse_relation,evidence
ED00027,L00014,file_has_path,F0010,P0014,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/Project5_TAMPERED.mpp
ED00028,L00014,path_belongs_to_file,P0014,F0010,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/Project5_TAMPERED.mpp
ED00029,L00015,file_has_path,F0011,P0015,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP - Metric History Report.xlsx
ED00030,L00015,path_belongs_to_file,P0015,F0011,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP - Metric History Report.xlsx
ED00031,L00016,file_has_path,F0012,P0016,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP - Quick Add Metrics.xlsx
ED00032,L00016,path_belongs_to_file,P0016,F0012,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP - Quick Add Metrics.xlsx
ED00033,L00017,file_has_path,F0013,P0017,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP- Detailed Metric Report.xlsx
ED00034,L00017,path_belongs_to_file,P0017,F0013,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP- Detailed Metric Report.xlsx
ED00035,L00018,file_has_path,F0014,P0018,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP1 - Detailed Metric Report.xlsx
ED00036,L00018,path_belongs_to_file,P0018,F0014,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP1 - Detailed Metric Report.xlsx
ED00037,L00019,file_has_path,F0015,P0019,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP1 - Metric History Report.xlsx
ED00038,L00019,path_belongs_to_file,P0019,F0015,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP1 - Metric History Report.xlsx
ED00039,L00020,file_has_path,F0016,P0020,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP1 - Quick Add Metrics.xlsx
ED00040,L00020,path_belongs_to_file,P0020,F0016,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP1 - Quick Add Metrics.xlsx
ED00041,L00021,file_has_path,F0017,P0021,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP23- Detailed Metric Report.xlsx
ED00042,L00021,path_belongs_to_file,P0021,F0017,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP23- Detailed Metric Report.xlsx
ED00043,L00022,file_has_path,F0018,P0022,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP23- Metric History Report.xlsx
ED00044,L00022,path_belongs_to_file,P0022,F0018,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP23- Metric History Report.xlsx
ED00045,L00023,file_has_path,F0019,P0023,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP23- Quick Add Metrics.xlsx
ED00046,L00023,path_belongs_to_file,P0023,F0019,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP23- Quick Add Metrics.xlsx
ED00047,L00024,file_has_path,F0020,P0024,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v1.mpp
ED00048,L00024,path_belongs_to_file,P0024,F0020,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v1.mpp
ED00049,L00025,file_has_path,F0021,P0025,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2.mpp
ED00050,L00025,path_belongs_to_file,P0025,F0021,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2.mpp
ED00051,L00026,file_has_path,F0022,P0026,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2.zip
ED00052,L00026,path_belongs_to_file,P0026,F0022,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2.zip
ED00053,L00027,file_has_path,F0001,P0027,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/2345 - DCMA Report.xlsx
ED00054,L00027,path_belongs_to_file,P0027,F0001,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/2345 - DCMA Report.xlsx
ED00055,L00028,file_has_path,F0002,P0028,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/2345 - Metric History Report.xlsx
ED00056,L00028,path_belongs_to_file,P0028,F0002,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/2345 - Metric History Report.xlsx
ED00057,L00029,file_has_path,F0003,P0029,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/2345 - Quick Add Metrics.xlsx
ED00058,L00029,path_belongs_to_file,P0029,F0003,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/2345 - Quick Add Metrics.xlsx
ED00059,L00030,file_has_path,F0005,P0030,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/L12 - Detailed Metric Report.xlsx
ED00060,L00030,path_belongs_to_file,P0030,F0005,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/L12 - Detailed Metric Report.xlsx
ED00061,L00031,file_has_path,F0006,P0031,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/L12- Metric History Report.xlsx
ED00062,L00031,path_belongs_to_file,P0031,F0006,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/L12- Metric History Report.xlsx
ED00063,L00032,file_has_path,F0007,P0032,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/L12- Quick Add Metrics.xlsx
ED00064,L00032,path_belongs_to_file,P0032,F0007,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/L12- Quick Add Metrics.xlsx
ED00065,L00033,file_has_path,F0102,P0033,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/Project2.mpp
ED00066,L00033,path_belongs_to_file,P0033,F0102,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/Project2.mpp
ED00067,L00034,file_has_path,F0008,P0034,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/Project3.mpp
ED00068,L00034,path_belongs_to_file,P0034,F0008,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/Project3.mpp
ED00069,L00035,file_has_path,F0009,P0035,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/Project4.mpp
ED00070,L00035,path_belongs_to_file,P0035,F0009,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/Project4.mpp
ED00071,L00036,file_has_path,F0010,P0036,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/Project5_TAMPERED.mpp
ED00072,L00036,path_belongs_to_file,P0036,F0010,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/Project5_TAMPERED.mpp
ED00073,L00037,file_has_path,F0011,P0037,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP - Metric History Report.xlsx
ED00074,L00037,path_belongs_to_file,P0037,F0011,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP - Metric History Report.xlsx
ED00075,L00038,file_has_path,F0012,P0038,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP - Quick Add Metrics.xlsx
ED00076,L00038,path_belongs_to_file,P0038,F0012,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP - Quick Add Metrics.xlsx
ED00077,L00039,file_has_path,F0013,P0039,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP- Detailed Metric Report.xlsx
ED00078,L00039,path_belongs_to_file,P0039,F0013,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP- Detailed Metric Report.xlsx
ED00079,L00040,file_has_path,F0014,P0040,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP1 - Detailed Metric Report.xlsx
ED00080,L00040,path_belongs_to_file,P0040,F0014,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP1 - Detailed Metric Report.xlsx
ED00081,L00041,file_has_path,F0015,P0041,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP1 - Metric History Report.xlsx
ED00082,L00041,path_belongs_to_file,P0041,F0015,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP1 - Metric History Report.xlsx
ED00083,L00042,file_has_path,F0016,P0042,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP1 - Quick Add Metrics.xlsx
ED00084,L00042,path_belongs_to_file,P0042,F0016,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP1 - Quick Add Metrics.xlsx
ED00085,L00043,file_has_path,F0017,P0043,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP23- Detailed Metric Report.xlsx
ED00086,L00043,path_belongs_to_file,P0043,F0017,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP23- Detailed Metric Report.xlsx
ED00087,L00044,file_has_path,F0018,P0044,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP23- Metric History Report.xlsx
ED00088,L00044,path_belongs_to_file,P0044,F0018,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP23- Metric History Report.xlsx
ED00089,L00045,file_has_path,F0019,P0045,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP23- Quick Add Metrics.xlsx
ED00090,L00045,path_belongs_to_file,P0045,F0019,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP23- Quick Add Metrics.xlsx
ED00091,L00046,file_has_path,F0020,P0046,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v1.mpp
ED00092,L00046,path_belongs_to_file,P0046,F0020,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v1.mpp
ED00093,L00047,file_has_path,F0021,P0047,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v2.mpp
ED00094,L00047,path_belongs_to_file,P0047,F0021,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v2.mpp
ED00095,L00048,file_has_path,F0023,P0048,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v3.mpp
ED00096,L00048,path_belongs_to_file,P0048,F0023,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v3.mpp
ED00097,L00049,file_has_path,F0024,P0049,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v4.mpp
ED00098,L00049,path_belongs_to_file,P0049,F0024,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v4.mpp
ED00099,L00050,file_has_path,F0025,P0050,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v5.mpp
ED00100,L00050,path_belongs_to_file,P0050,F0025,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v2_EXTRACTED/TP4_DataCenter_v5.mpp
ED00101,L00051,file_has_path,F0023,P0051,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v3.mpp
ED00102,L00051,path_belongs_to_file,P0051,F0023,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v3.mpp
ED00103,L00052,file_has_path,F0024,P0052,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v4.mpp
ED00104,L00052,path_belongs_to_file,P0052,F0024,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v4.mpp
ED00105,L00053,file_has_path,F0025,P0053,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v5.mpp
ED00106,L00053,path_belongs_to_file,P0053,F0025,file_has_path,ref1/.mpp test files/2-3-4-5/2345_EXTRACTED/TP4_DataCenter_v5.mpp
ED00107,L00054,file_has_path,F0005,P0054,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/L12 - Detailed Metric Report.xlsx
ED00108,L00054,path_belongs_to_file,P0054,F0005,file_has_path,ref1/.mpp test files/2-3-4-5/L12 - Detailed Metric Report.xlsx
ED00109,L00055,file_has_path,F0006,P0055,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/L12- Metric History Report.xlsx
ED00110,L00055,path_belongs_to_file,P0055,F0006,file_has_path,ref1/.mpp test files/2-3-4-5/L12- Metric History Report.xlsx
ED00111,L00056,file_has_path,F0007,P0056,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/L12- Quick Add Metrics.xlsx
ED00112,L00056,path_belongs_to_file,P0056,F0007,file_has_path,ref1/.mpp test files/2-3-4-5/L12- Quick Add Metrics.xlsx
ED00113,L00057,file_has_path,F0102,P0057,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/Project2.mpp
ED00114,L00057,path_belongs_to_file,P0057,F0102,file_has_path,ref1/.mpp test files/2-3-4-5/Project2.mpp
ED00115,L00058,file_has_path,F0008,P0058,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/Project3.mpp
ED00116,L00058,path_belongs_to_file,P0058,F0008,file_has_path,ref1/.mpp test files/2-3-4-5/Project3.mpp
ED00117,L00059,file_has_path,F0009,P0059,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/Project4.mpp
ED00118,L00059,path_belongs_to_file,P0059,F0009,file_has_path,ref1/.mpp test files/2-3-4-5/Project4.mpp
ED00119,L00060,file_has_path,F0010,P0060,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/Project5_TAMPERED.mpp
ED00120,L00060,path_belongs_to_file,P0060,F0010,file_has_path,ref1/.mpp test files/2-3-4-5/Project5_TAMPERED.mpp
ED00121,L00061,file_has_path,F0011,P0061,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP - Metric History Report.xlsx
ED00122,L00061,path_belongs_to_file,P0061,F0011,file_has_path,ref1/.mpp test files/2-3-4-5/TP - Metric History Report.xlsx
ED00123,L00062,file_has_path,F0012,P0062,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP - Quick Add Metrics.xlsx
ED00124,L00062,path_belongs_to_file,P0062,F0012,file_has_path,ref1/.mpp test files/2-3-4-5/TP - Quick Add Metrics.xlsx
ED00125,L00063,file_has_path,F0013,P0063,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP- Detailed Metric Report.xlsx
ED00126,L00063,path_belongs_to_file,P0063,F0013,file_has_path,ref1/.mpp test files/2-3-4-5/TP- Detailed Metric Report.xlsx
ED00127,L00064,file_has_path,F0014,P0064,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP1 - Detailed Metric Report.xlsx
ED00128,L00064,path_belongs_to_file,P0064,F0014,file_has_path,ref1/.mpp test files/2-3-4-5/TP1 - Detailed Metric Report.xlsx
ED00129,L00065,file_has_path,F0015,P0065,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP1 - Metric History Report.xlsx
ED00130,L00065,path_belongs_to_file,P0065,F0015,file_has_path,ref1/.mpp test files/2-3-4-5/TP1 - Metric History Report.xlsx
ED00131,L00066,file_has_path,F0016,P0066,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP1 - Quick Add Metrics.xlsx
ED00132,L00066,path_belongs_to_file,P0066,F0016,file_has_path,ref1/.mpp test files/2-3-4-5/TP1 - Quick Add Metrics.xlsx
ED00133,L00067,file_has_path,F0017,P0067,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP23- Detailed Metric Report.xlsx
ED00134,L00067,path_belongs_to_file,P0067,F0017,file_has_path,ref1/.mpp test files/2-3-4-5/TP23- Detailed Metric Report.xlsx
ED00135,L00068,file_has_path,F0018,P0068,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP23- Metric History Report.xlsx
ED00136,L00068,path_belongs_to_file,P0068,F0018,file_has_path,ref1/.mpp test files/2-3-4-5/TP23- Metric History Report.xlsx
ED00137,L00069,file_has_path,F0019,P0069,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP23- Quick Add Metrics.xlsx
ED00138,L00069,path_belongs_to_file,P0069,F0019,file_has_path,ref1/.mpp test files/2-3-4-5/TP23- Quick Add Metrics.xlsx
ED00139,L00070,file_has_path,F0020,P0070,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v1.mpp
ED00140,L00070,path_belongs_to_file,P0070,F0020,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v1.mpp
ED00141,L00071,file_has_path,F0021,P0071,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.mpp
ED00142,L00071,path_belongs_to_file,P0071,F0021,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.mpp
ED00143,L00072,file_has_path,F0022,P0072,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.zip
ED00144,L00072,path_belongs_to_file,P0072,F0022,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2.zip
ED00145,L00073,file_has_path,F0001,P0073,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/2345 - DCMA Report.xlsx
ED00146,L00073,path_belongs_to_file,P0073,F0001,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/2345 - DCMA Report.xlsx
ED00147,L00074,file_has_path,F0002,P0074,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/2345 - Metric History Report.xlsx
ED00148,L00074,path_belongs_to_file,P0074,F0002,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/2345 - Metric History Report.xlsx
ED00149,L00075,file_has_path,F0003,P0075,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/2345 - Quick Add Metrics.xlsx
ED00150,L00075,path_belongs_to_file,P0075,F0003,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/2345 - Quick Add Metrics.xlsx
ED00151,L00076,file_has_path,F0005,P0076,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/L12 - Detailed Metric Report.xlsx
ED00152,L00076,path_belongs_to_file,P0076,F0005,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/L12 - Detailed Metric Report.xlsx
ED00153,L00077,file_has_path,F0006,P0077,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/L12- Metric History Report.xlsx
ED00154,L00077,path_belongs_to_file,P0077,F0006,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/L12- Metric History Report.xlsx
ED00155,L00078,file_has_path,F0007,P0078,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/L12- Quick Add Metrics.xlsx
ED00156,L00078,path_belongs_to_file,P0078,F0007,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/L12- Quick Add Metrics.xlsx
ED00157,L00079,file_has_path,F0102,P0079,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/Project2.mpp
ED00158,L00079,path_belongs_to_file,P0079,F0102,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/Project2.mpp
ED00159,L00080,file_has_path,F0008,P0080,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/Project3.mpp
ED00160,L00080,path_belongs_to_file,P0080,F0008,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/Project3.mpp
ED00161,L00081,file_has_path,F0009,P0081,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/Project4.mpp
ED00162,L00081,path_belongs_to_file,P0081,F0009,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/Project4.mpp
ED00163,L00082,file_has_path,F0010,P0082,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/Project5_TAMPERED.mpp
ED00164,L00082,path_belongs_to_file,P0082,F0010,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/Project5_TAMPERED.mpp
ED00165,L00083,file_has_path,F0011,P0083,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/TP - Metric History Report.xlsx
ED00166,L00083,path_belongs_to_file,P0083,F0011,file_has_path,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/TP - Metric History Report.xlsx
ED00167,L00084,file_has_path,F0012,P0084,path_belongs_to_file,ref1/.mpp test files/2-3-4-5/TP4_DataCenter_v2_EXTRACTED/TP - Quick Add Metrics.xlsx
